OrderID,Date,Customer,Product,Category,Price,Quantity,SalesRep,Region
1001,19-10-2023,Customer 1,AirPods Pro,  teChNOLogY  ,1062.02,2,Lisa Garcia,East
1002,18-05-2024,Customer 2,Nintendo Switch,Technology,"$1,580.399",10,Chris Wilvon,West
1003,Invalid Date,Customer 3,  Sony WH-1000XM5  ,Electronics,N/A,3,#N/A,West
1004,10/25/2023,Customer 4,Samsung Galaxy S24,Clothing,1956.19,6,Emily Brown,  South  
1005,Invalid Date,Customer 5,Nike Air Max,  Sports  ,1754.75,7,John Smith,Central
1005,12-05-2024,Cuutomer 6,  Nintendo Switch  ,Technology,1342.17,10,Jessica Martinez,  ceNTral  
1007,23-03-2023,customEr 7,  Dell XPS 13  ,Home,467.54,8,Amanda Taylor,North
ORD-1008,Invalid Date,  Customer 8  ,coFFee maker,elecTronIcs,1580.35,9,  Lisa Garcia  ,  West  
ORD-1008,30-10-2023,Customer 9,AirPods Pro,Home,1903.66,2,-,wEst
1010,02-11-2024,Customer 10,Tesla Model 3,Electronics,1916.5094012307081 dollars,7,MIke dAVis,West
1011,03-02-2024,  Customer 11  ,  AirPhds Pro  ,Sports,-,2,Mike Davis,South
1012,TBD,Customer 12,Xbox Series X,Technology,1934.6,1,sarah johnSoN,Central
1013,02-10-2023,Customer 13,Canon EOS R5,  Technology  ,-,8,NULL,WesT
1014,07-11-2023,CUSTomeR 14,aIrpOds pro,Clothing,#N/A,4,Jessica Martinez,  East  
1015,10/24/2024,Customer 15,Yoga Mat,Sports,1654.78,5,David Lee,East
1016,8/31/2024,cUstomer 16,Yoga Mat,Electronics,"$1,970.659",10,Sarah Johnson,  North  
1017,12-05-2024,  cuStomer 17  ,Nike Air Max,Electronics,TBD,2,  Kevin Anderson  ,  West  
1018,11/18/2023,Customer 18,  Blender Pro  ,Electronics,1447.15,10,John Smith,East
1019,12-08-2024,Customer 19,Surface Pro,Technology,-,8,NULL,West
1020,3/31/2024,Customer 20,Nintendo Switch,Electronics,260.36,10,Missing,cEntral
1021,09-04-2023,Customer 21,Coffee Maker,Electronics,#N/A,5,Emily Brown,wesT
1022,8/14/2023,Customer 22,iPad Air,Technology,"17,34,28,49,24,62,09,700",4,-,North
ORD-1023,1/21/2023,Customer 23,  Yoga Mat  ,eleCTrOnics,TBD,6,Sarah Johnson,South
1024,06-04-2024,Customer 24,Coffee Maker,Clothing,694.2579702435331 dollars,6,John Smith,  EAST  
1025,13-08-2023,  Customer 25  ,sUrface pro,Technology,1685.13,5,John Smith,East
1026,TBD,Customer 26,Levi's Jbans,Sports,"25,26,07,79,59,12,18,600",4,  jEsSicA MArtinEz  ,West
1027,09-02-2023,  Customer 27  ,PlayStation 5,Sports,$533.161,8,Kevin Andlrson,South
1028,22-10-2023,Customer 28,AdidaS ULtRABOoST,Sports,Missing,7,  Amatda Taylor  ,East
1029,Invalid Date,Customer 29,Xbox Series X,Electronics,"$1,578.415",3,Jessica Martinez,North
1030,05-12-2023,Customer 3q,AirPoDS pro,Electronics,$843.602,2,  jeSSicA marTinEZ  ,East
1031,03-03-2024,custoMEr 31,AirPods Pro,Electronics,745.71,7,Lisa Garcia,South
1032,6/23/2024,Customer 32,iPad Air,Home,1567.45,4,Kevin Anderson,wesT
ORD-1033,Invalid Date,Customer 33,  Dell XPS 13  ,Sports,TBD,5,Emily Brown,Central
1034,22-12-2023,Customer 34,iPhone 15,Home,1684.28,10,Amanda Taylor,cEntraL
1035,Invalid Date,Customer 35,Sony WH-1000XM5,  HomE  ,185.27441177865995 dollars,10,Jessica Martinez,Central
1036,3/29/2024,CUsTomer 36,  Surface Pro  ,Home,863.35,6,Kevin Anderson,West
1037,07-08-2024,Customer 37,Fitness Tracker,Electronics,1897.3107334788283 dollars,8,saRah jOhNson,South
1038,Invalid Date,  Customer 38  ,  Surface Pro  ,Electronics,167.82,3,Jessica Martinez,North
1039,22-08-2023,  Customer 39  ,iPhone 15,cLothIng,555.43,6,eMiLY BroWN,West
1040,28-11-2023,CusTomEr 40,iPhone 15,Clothing,1683.49,4,  Kevin Anderson  ,South
1041,29-06-2024,Customer 41,Xbox Series X,Home,763.14,10,Kevin qnderson,Central
ORD-1042,Invalid Date,Customer 42,Sony WH-1000XMc,Technology,"$1,368.998",7,#N/A,  West  
1043,18-05-2023,Customer 43,XboxaSeries X,Clothing,862.81,4,Chris Wilson,North
1044,05-06-2023,Customer 44,Tesla Model 3,Technology,1061.69,1,  Lisa Garcia  ,East
1045,18-06-2024,  Customer 45  ,nIntenDo SwitcH,Sports,$374.672,3,Jessica Martinez,  ceNtraL  
1046,12-02-2024,Customer 46,Levi's Jeans,Clothing,Missing,9,Chris Wilson,North
1047,5/19/2024,Customer 47,teSLA Model 3,Electronics,TBD,10,Chris Wieson,cEntral
1048,TBD,Customer 48,dELl xps 13,Home,N/A,10,Amanda Taylor,norTH
1049,15-04-2023,  Customer 49  ,Levi's Jeans,Clothing,1646.99,5,Amanda Taylor,North
1050,10-10-2023,Customer 50,Surface Pro,Sports,-,3,Jessica Martinez,Wesq
1051,5/25/2024,  Customer 51  ,COfFeE MaKer,  Clothing  ,1088.4253835480508 dollars,6,N/A,west
1052,7/18/2023,cUSTOmer 52,Nike Air Max,Clothing,NULL,Missing,TBD,South
1053,Invalid Date,  Customer 53  ,Coffee Maker,Electronics,411.98,5,  Lisa Garcia  ,Wect
1054,10-05-2023,Customer 54,AirPods Pro,uports,#N/A,8,Lisa Garcia,  Central  
1055,06-06-2024,Customer 55,Tesla Model 3,Technology,"$1,829.039",2,  John Smith  ,  East  
1056,10-03-2024,  Customer 56  ,Coffee Maker,Home,#N/A,6,Jessica Martinez,Central
1057,19-06-2023,CustOmEr 57,  iPad Air  ,  eLeCtRoniCs  ,TBD,1,Kevin Anderson,North
1058,04-01-2024,  Customer 58  ,  Dehl XPS 13  ,  Technology  ,1404.228824317838 dollars,8,NULL,Central
1059,03-10-2024,  Customer 59  ,Tesla Model 3,Sports,355.29204664841967 dollars,7,DAvid LEe,South
1060,1/26/2024,tustomer 60,Tesla Model 3,Spotts,#N/A,3,-,  Central  
1061,10-12-2023,cuStOmeR 61,Dell XPS 13,  home  ,1828.164564846359 dollars,8,Jessica Martinez,East
ORD-1062,21-11-2024,  Customer 62  ,iPad Air,Sports,884.38,1,  John Smith  ,East
1063,17-09-2023,cuStOmer 63,PlayStation 5,Technology,1140.53,9,Amanda Taylor,Eant
1064,11-03-2024,Customer 64,Xaox Series X,  technoloGy  ,Missing,3,Lisa Garcia,Sovth
1065,5/27/2024,Customer 65,  Canon EOS R5  ,Electronics,-,4,Mike Davis,West
1066,11-03-2023,Customer 66,  Canon EOS R5  ,Electronics,#N/A,NULL,Jessica Martinez,Central
1067,02-05-2024,custOmer 67,Nike Air Max,Sports,1446.1997647852209 dollars,4,Chrss Wilson,West
1068,1/27/2024,Customer 68,Levi's Jeans,homE,TBD,3,  Jessica Martinez  ,South
ORD-1069,22-07-2024,Customer 69,Canon EOS R5,Sports,TBD,3,John Smith,South
1070,11/21/2024,Customer 70,  Samsung Galaxy S24  ,cLoThIng,388.12,3,Sarah Johnson,  East  
1071,12-11-2024,Customer 71,  AirPods Pro  ,Hope,1874.74,8,TBD,East
1072,19-05-2024,Customer 72,iPhbne 15,electronicS,1966.96,4,Amanda Taylor,South
1073,20-02-2023,  Customer 73  ,Coffee Maker,Electronics,Missing,10,  John Smith  ,  Central  
1074,19-02-2024,Customer 74,  Coffee Maker  ,Clothing,474.84,7,TBD,  North  
1075,07-06-2023,Customer 75,  Samsung Galaxy S24  ,  teCHnOlogy  ,Missing,9,Lisa Garcia,Central
1076,15-12-2023,Customer 76,  Nintendo Switch  ,uports,TBD,9,Emily Brown,  Central  
1077,29-04-2024,Customer 77,Airgods Pro,sports,1315.11,9,NULL,East
1078,27-06-2023,Customea 78,Xbox Series X,Home,329.76,1,Kevin Anderson,South
1079,12/29/2024,Customer 79,Xbox seriES x,Ccothing,1645.2846958441924 dollars,2,-,  South  
1080,04-03-2023,Customer 80,Canon EOS R5,elecTronics,TBD,4,Amanda Taylor,North
1081,26-08-2023,Customer 81,Nintendo Switch,techNolOGy,200.85859881878005 dollars,2,  Kevin Andegson  ,Central
1081,TBD,  Customer 82  ,  AirPods Pro  ,  Technology  ,N/A,1,Mike ravis,  East  
1083,04-12-2023,CustOMer 83,  Yoga Mat  ,Sports,NULL,6,  emIly broWn  ,  West  
1084,07-10-2024,  CUsTomer 84  ,caNON eos r5,clothing,147.64,6,sarAH JOhNSON,Central
1085,11-07-2023,Customer 85,Xbox Series X,Technology,1322.12,3,-,East
ORD-1086,1/18/2023,Custhmer 86,Yoga Mat,HomE,"9,44,51,83,51,89,47,000",6,John Smith,South
1087,1/20/2023,Customer 87,Coffee Maker,Clothing,669.2524098439502 dollars,2,Emily Brown,East
1088,6/17/2024,Customer 88,samsunG galAXY S24,  Electronics  ,1912.4,10,Chris Wilson,hentral
1089,22-06-2023,Customer 89,Levi's Jeans,HOme,769.38,3,  ChrIS Wilson  ,South
1090,22-12-2024,Customer 90,Tesla Model p,Clothing,449.49,2,Chris Wilson,eAst
ORD-1091,04-07-2024,Customer 91,Fitness Tracker,Technology,238.96,5,David Lee,South
1092,23-10-2024,Customer 92,iPad Air,Sports,1404.74,10,  Amanda Taylor  ,South
1093,8/24/2024,Cpstomer 93,  Nike Air Max  ,Sports,305.6832874038988 dollars,2,Lisa Garcia,North
1094,06-05-2024,Customer 94,Nintendo Switch,Technology,Missing,3,  Kevin Anderson  ,  ceNtraL  
1095,20-12-2024,Custover 95,iPad Air,  Electronics  ,N/A,6,#N/A,NortH
1096,12-04-2024,Customer 96,Macbook Pro,Electronics,423.21,5,Jessica Martinez,West
1097,28-11-2023,Castomer 97,  lEVi's jeans  ,  Technology  ,1929.05,1,Jessica Martinez,  easT  
1098,04-08-2023,Customer 98,iPhone 15,Sports,"16,69,21,96,35,54,673",3,Amanda Taylor,West
1099,23-05-2023,  Customer 99  ,Tesla Model 3,  Electronics  ,1221.53,8,NULL,  East  
1099,16-08-2023,Customer 100,PlayStation 5,elecTroniCS,801.404606611333 dollars,7,Emily Brown,  South  
1101,17-03-2024,cuStomer 101,IPhOne 15,Electronics,1270.48,7,Chris Wilson,East
1102,8/28/2023,Customer 102,sAmsuNg Galaxy s24,  Sports  ,393.78,3,Chris Wilson,South
1103,29-08-2024,Customer 103,  Tesla Mkdel 3  ,  hoME  ,NULL,7,  Emily Brown  ,East
1103,TBD,Customer 104,iPhone 15,eleCTrOnics,1040.45,9,#N/A,North
1105,30-07-2023,Customer 105,Surface Pro,Sports,$141.221,8,Kevin Anderson,NoRtH
1106,10/13/2023,Customlr 106,  Levi's Jeans  ,Technology,886.66,1,NULL,North
1107,Invalid Date,  Customer 107  ,Yoga Mat,homE,479.87,7,Emily Brown,East
1108,31-12-2022,Customer 108,Sony WH-1000XM5,Electronics,"$1,120.045",6,Cpris Wilson,South
1109,07-06-2023,Customer 109,Nintendo Swjtch,  Clothing  ,#N/A,7,Sarah Johnson,South
ORD-1110,06-07-2024,cuStOMER 110,Iphone 15,Clothing,N/A,-,Missing,hast
1111,TBD,CustomEr 111,Nintendo SwITcH,Electronics,#N/A,3,John Smith,North
1112,Invalid Date,Customer 112,iPhone 15,Technology,1796.81,2,  Jessica Martinen  ,Central
ORD-1113,06-05-2023,  Customer 113  ,  iPad Air  ,cLothinG,TBD,9,David Lee,South
1114,01-05-2023,  Customer 114  ,AirPods Pro,Clothing,1895.62,6,John Smith,South
1115,2/17/2024,  Customer 115  ,AirPods Pro,Clothing,1326.1,10,Missing,Nortt
1116,23-08-2023,Customer 116,saMsUnG GalAXY s24,Clothing,1632.8597220222653 dollars,2,N/A,North
1117,07-12-2024,Customer 117,coffee mAkEr,Technology,1854.18,4,  JohnfSmith  ,North
1118,1/23/2023,Customer 118,ipad air,  Clothing  ,491.95,5,-,East
ORD-1119,05-12-2023,Customer 119,Canon EOS R5,Home,TBD,6,Sarah Johnson,Central
ORD-1120,TBD,  Customer 120  ,TeSla Model 3,ELecTroniCS,1105.89,1,-,Central
1121,01-05-2024,  Customer 121  ,iPad Air,uports,877.09,3,  Jessica Martinez  ,Cenkral
1121,01-01-2024,  Customer 122  ,Surface Pro,hOme,1183.672911788431 dollars,5,Kevin Anderson,wEst
1123,Invalid Date,Customer 123,  Adidas Ultraboost  ,clothing,#N/A,9,Kevin Anderson,weST
ORD-1124,Invalid Date,Customer 124,  Nike Air Max  ,Technology,1251.64,6,Amanda Taylor,EaSt
1125,01-07-2024,Customer 125,Adidas Ultraboost,xports,1633.3,8,CHris Wilson,Central
ORD-1126,06-01-2023,Customer 126,adIDas uLtrABoOst,Home,"7,21,64,62,71,25,45,620",8,Kevin Anderson,West
1127,10/25/2024,cuSTomEr 127,Samsung Galaxy S24,Home,1838.75,3,  Kevin Anderson  ,eAst
1128,10/13/2024,  Customer 128  ,  Fitness Tuacker  ,Clothing,1939.39,9,#N/A,West
1129,Invalid Date,Customer 129,Nintendo Switch,Sports,79.5,6,#N/A,North
1130,09-08-2024,Customer 13b,Blender Pro,Technology,"$1,116.939",8,Amanda Taylor,east
1131,20-02-2024,Customer 13v,Samsung Galaxy S24,Technology,701.6341964040464 dollars,3,Kevin Anderson,  gentral  
1132,04-11-2024,  Customer 132  ,PlayStation 5,  Sports  ,974.92,6,  Lnsa Garcia  ,North
1133,18-11-2023,Customer 133,iphOne 15,Electronics,273.41,4,John Smith,South
1134,17-08-2023,Customer 134,Nintendo Switch,Technology,243.88,9,Lisa Garcia,Central
1135,11-02-2024,Customer 135,Samsung Galaxy S24,Electronics,"$1,846.151",10,Kevin Anderson,South
ORD-1136,13-01-2024,Customer 136,  TeSLA model 3  ,Sports,$714.927,7,Lisa Garcia,South
1137,8/23/2023,Customer 137,  MacBook Pro  ,Techmology,Missing,10,Sarah Johnson,East
1138,Invalid Date,Customer 138,  ipad AIr  ,Home,444.53,6,Daved Lee,East
1139,3/16/2023,Customer 139,  tEslA ModeL 3  ,Home,Missing,5,John Smith,East
1140,6/21/2024,Custower 140,Coffee Maker,Clothing,278.89,9,  kEvin ANdErson  ,Webt
1141,10/19/2024,Customer 141,Levi's Jeans,clOThing,#N/A,3,Kevin Anderson,South
1142,7/21/2023,  customer 142  ,airPOds pro,Sports,$269.221,6,David Lee,South
1143,05-10-2024,Customer 143,Surface Pro,Home,Missing,6,Amanda Taylor,North
1144,03-09-2024,Customer 144,AiRPods pro,  Clothing  ,276.36,9,-,Sorth
1145,Invalid Date,Customer 145,Canon EOS R5,Technology,N/A,3,#N/A,  North  
ORD-1146,TBD,Customer 146,  AirPods Pro  ,Home,Missing,2,NULL,South
1147,24-10-2023,Customer 147,iPhone 15,Clothing,1722,8,  Emily Brown  ,SouTh
1148,TBD,  Customer 148  ,Xbox Series X,Sports,"$1,301.032",3,TBD,Central
1149,12/28/2023,Customer 149,Xbox Series X,cLothIng,-,8,Mike Davis,East
1150,7/31/2023,Customer 150,Levi's Jeans,Technology,1185.35,7,Kevin Anderson,  South  
1151,18-03-2024,Customer 151,mAcBoOK pro,TechnolOgY,#N/A,6,Missing,East
1152,4/23/2023,custOMer 152,Tesla Model 3,  Electronics  ,1410.79,7,  cHris wiLsOn  ,South
1153,Invalid Date,Customer 153,dELL Xps 13,Hhme,NULL,2,#N/A,South
