OrderID,Date,Customer,Product,Category,Price,Quantity,SalesRep,Region
1001,19-10-2023,Customer 1,Airpods Pro,Technology,"$1,062",2,Lisa Garcia,East
1002,18-05-2024,Customer 2,Nintendo Switch,Technology,"$1,580",10,Chris Wilvon,West
1003,TBA,Customer 3,Sony Wh-1000Xm5,Electronics,TBA,3,TBA,West
1004,10-25-2023,Customer 4,Samsung Galaxy S24,Clothing,"$1,956",6,Emily Brown,South
1005,TBA,Customer 5,Nike Air Max,Sports,"$1,755",7,John Smith,Central
1005,12-05-2024,Customer 6,Nintendo Switch,Technology,"$1,342",10,Jessica Martinez,Central
1007,23-03-2023,Customer 7,Dell Xps 13,Home,$468,8,Amanda Taylor,North
1008,TBA,Customer 8,Coffee Maker,Electronics,"$1,580",9,Lisa Garcia,West
1008,30-10-2023,Customer 9,Airpods Pro,Home,"$1,904",2,TBA,West
1010,02-11-2024,Customer 10,Tesla Model 3,Electronics,"$1,917",7,Mike Davis,West
1011,03-02-2024,Customer 11,Airphds Pro,Sports,TBA,2,Mike Davis,South
1012,TBA,Customer 12,Xbox Series X,Technology,"$1,935",1,Sarah Johnson,Central
1013,02-10-2023,Customer 13,Canon Eos R5,Technology,TBA,8,TBA,West
1014,07-11-2023,Customer 14,Airpods Pro,Clothing,TBA,4,Jessica Martinez,East
1015,10-24-2024,Customer 15,Yoga Mat,Sports,"$1,655",5,David Lee,East
1016,8-31-2024,Customer 16,Yoga Mat,Electronics,"$1,971",10,Sarah Johnson,North
1017,12-05-2024,Customer 17,Nike Air Max,Electronics,TBA,2,Kevin Anderson,West
1018,11-18-2023,Customer 18,Blender Pro,Electronics,"$1,447",10,John Smith,East
1019,12-08-2024,Customer 19,Surface Pro,Technology,TBA,8,TBA,West
1020,3-31-2024,Customer 20,Nintendo Switch,Electronics,$260,10,TBA,Central
1021,09-04-2023,Customer 21,Coffee Maker,Electronics,TBA,5,Emily Brown,West
1022,8-14-2023,Customer 22,Ipad Air,Technology,"$17,34",4,TBA,North
1023,1-21-2023,Customer 23,Yoga Mat,Electronics,TBA,6,Sarah Johnson,South
1024,06-04-2024,Customer 24,Coffee Maker,Clothing,$694,6,John Smith,East
1025,13-08-2023,Customer 25,Surface Pro,Technology,"$1,685",5,John Smith,East
1026,TBA,Customer 26,Levi'S Jbans,Sports,"$25,26",4,Jessica Martinez,West
1027,09-02-2023,Customer 27,Playstation 5,Sports,$533,8,Kevin Andlrson,South
1028,22-10-2023,Customer 28,Adidas Ultraboost,Sports,TBA,7,Amatda Taylor,East
1029,TBA,Customer 29,Xbox Series X,Electronics,"$1,578",3,Jessica Martinez,North
1030,05-12-2023,Customer 30,Airpods Pro,Electronics,$844,2,Jessica Martinez,East
1031,03-03-2024,Customer 31,Airpods Pro,Electronics,$746,7,Lisa Garcia,South
1032,6-23-2024,Customer 32,Ipad Air,Home,"$1,567",4,Kevin Anderson,West
1033,TBA,Customer 33,Dell Xps 13,Sports,TBA,5,Emily Brown,Central
1034,22-12-2023,Customer 34,Iphone 15,Home,"$1,684",10,Amanda Taylor,Central
1035,TBA,Customer 35,Sony Wh-1000Xm5,Home,$185,10,Jessica Martinez,Central
1036,3-29-2024,Customer 36,Surface Pro,Home,$863,6,Kevin Anderson,West
1037,07-08-2024,Customer 37,Fitness Tracker,Electronics,"$1,897",8,Sarah Johnson,South
1038,TBA,Customer 38,Surface Pro,Electronics,$168,3,Jessica Martinez,North
1039,22-08-2023,Customer 39,Iphone 15,Clothing,$555,6,Emily Brown,West
1040,28-11-2023,Customer 40,Iphone 15,Clothing,"$1,683",4,Kevin Anderson,South
1041,29-06-2024,Customer 41,Xbox Series X,Home,$763,10,Kevin Qnderson,Central
1042,TBA,Customer 42,Sony Wh-1000Xmc,Technology,"$1,369",7,TBA,West
1043,18-05-2023,Customer 43,Xboxaseries X,Clothing,$863,4,Chris Wilson,North
1044,05-06-2023,Customer 44,Tesla Model 3,Technology,"$1,062",1,Lisa Garcia,East
1045,18-06-2024,Customer 45,Nintendo Switch,Sports,$375,3,Jessica Martinez,Central
1046,12-02-2024,Customer 46,Levi'S Jeans,Clothing,TBA,9,Chris Wilson,North
1047,5-19-2024,Customer 47,Tesla Model 3,Electronics,TBA,10,Chris Wieson,Central
1048,TBA,Customer 48,Dell Xps 13,Home,TBA,10,Amanda Taylor,North
1049,15-04-2023,Customer 49,Levi'S Jeans,Clothing,"$1,647",5,Amanda Taylor,North
1050,10-10-2023,Customer 50,Surface Pro,Sports,TBA,3,Jessica Martinez,West
1051,5-25-2024,Customer 51,Coffee Maker,Clothing,"$1,088",6,TBA,West
1052,7-18-2023,Customer 52,Nike Air Max,Clothing,TBA,TBA,Tbd,South
1053,TBA,Customer 53,Coffee Maker,Electronics,$412,5,Lisa Garcia,West
1054,10-05-2023,Customer 54,Airpods Pro,Uports,TBA,8,Lisa Garcia,Central
1055,06-06-2024,Customer 55,Tesla Model 3,Technology,"$1,829",2,John Smith,East
1056,10-03-2024,Customer 56,Coffee Maker,Home,TBA,6,Jessica Martinez,Central
1057,19-06-2023,Customer 57,Ipad Air,Electronics,TBA,1,Kevin Anderson,North
1058,04-01-2024,Customer 58,Dehl Xps 13,Technology,"$1,404",8,TBA,Central
1059,03-10-2024,Customer 59,Tesla Model 3,Sports,$355,7,David Lee,South
1060,1-26-2024,Customer 60,Tesla Model 3,Spotts,TBA,3,TBA,Central
1061,10-12-2023,Customer 61,Dell Xps 13,Home,"$1,828",8,Jessica Martinez,East
1062,21-11-2024,Customer 62,Ipad Air,Sports,$884,1,John Smith,East
1063,17-09-2023,Customer 63,Playstation 5,Technology,"$1,141",9,Amanda Taylor,East
1064,11-03-2024,Customer 64,Xaox Series X,Technology,TBA,3,Lisa Garcia,South
1065,5-27-2024,Customer 65,Canon Eos R5,Electronics,TBA,4,Mike Davis,West
1066,11-03-2023,Customer 66,Canon Eos R5,Electronics,TBA,TBA,Jessica Martinez,Central
1067,02-05-2024,Customer 67,Nike Air Max,Sports,"$1,446",4,Chrss Wilson,West
1068,1-27-2024,Customer 68,Levi'S Jeans,Home,TBA,3,Jessica Martinez,South
1069,22-07-2024,Customer 69,Canon Eos R5,Sports,TBA,3,John Smith,South
1070,11-21-2024,Customer 70,Samsung Galaxy S24,Clothing,$388,3,Sarah Johnson,East
1071,12-11-2024,Customer 71,Airpods Pro,Hope,"$1,875",8,Tbd,East
1072,19-05-2024,Customer 72,Iphbne 15,Electronics,"$1,967",4,Amanda Taylor,South
1073,20-02-2023,Customer 73,Coffee Maker,Electronics,TBA,10,John Smith,Central
1074,19-02-2024,Customer 74,Coffee Maker,Clothing,$475,7,Tbd,North
1075,07-06-2023,Customer 75,Samsung Galaxy S24,Technology,TBA,9,Lisa Garcia,Central
1076,15-12-2023,Customer 76,Nintendo Switch,Uports,TBA,9,Emily Brown,Central
1077,29-04-2024,Customer 77,Airgods Pro,Sports,"$1,315",9,TBA,East
1078,27-06-2023,Customer 78,Xbox Series X,Home,$330,1,Kevin Anderson,South
1079,12-29-2024,Customer 79,Xbox Series X,Ccothing,"$1,645",2,TBA,South
1080,04-03-2023,Customer 80,Canon Eos R5,Electronics,TBA,4,Amanda Taylor,North
1081,26-08-2023,Customer 81,Nintendo Switch,Technology,$201,2,Kevin Andegson,Central
1081,TBA,Customer 82,Airpods Pro,Technology,TBA,1,Mike Ravis,East
1083,04-12-2023,Customer 83,Yoga Mat,Sports,TBA,6,Emily Brown,West
1084,07-10-2024,Customer 84,Canon Eos R5,Clothing,$148,6,Sarah Johnson,Central
1085,11-07-2023,Customer 85,Xbox Series X,Technology,"$1,322",3,TBA,East
1086,1-18-2023,Customer 86,Yoga Mat,Home,"$9,44,",6,John Smith,South
